Number of classes: 17
Classes: ['ADJ', 'ADP', 'ADV', 'AUX', 'CCONJ', 'DET', 'INTJ', 'NOUN', 'NUM', 'PART', 'PRON', 'PROPN', 'PUNCT', 'SCONJ', 'SYM', 'VERB', 'X']
trainable params: 21,298,961 || all params: 11,787,398,434 || trainable%: 0.1807
Starting training...
{'loss': 0.3571, 'grad_norm': 3.5388009548187256, 'learning_rate': 0.0001670790378006873, 'epoch': 1.65}
{'loss': 0.2759, 'grad_norm': 2.8178658485412598, 'learning_rate': 0.0001663917525773196, 'epoch': 1.68}
{'loss': 0.3022, 'grad_norm': 2.9638218879699707, 'learning_rate': 0.0001657044673539519, 'epoch': 1.72}
{'loss': 0.3514, 'grad_norm': 2.7428975105285645, 'learning_rate': 0.00016501718213058418, 'epoch': 1.75}
{'loss': 0.3107, 'grad_norm': 2.033554792404175, 'learning_rate': 0.0001643298969072165, 'epoch': 1.79}
{'loss': 0.3419, 'grad_norm': 2.442018747329712, 'learning_rate': 0.0001636426116838488, 'epoch': 1.82}
{'loss': 0.35, 'grad_norm': 2.95326828956604, 'learning_rate': 0.0001629553264604811, 'epoch': 1.86}
{'loss': 0.3457, 'grad_norm': 3.2449963092803955, 'learning_rate': 0.00016226804123711341, 'epoch': 1.89}
{'loss': 0.3293, 'grad_norm': 2.9552931785583496, 'learning_rate': 0.00016158075601374573, 'epoch': 1.92}
{'loss': 0.3096, 'grad_norm': 2.6887753009796143, 'learning_rate': 0.00016089347079037802, 'epoch': 1.96}
{'loss': 0.3396, 'grad_norm': 4.3416428565979, 'learning_rate': 0.00016020618556701033, 'epoch': 1.99}
{'eval_loss': 0.3620592951774597, 'eval_accuracy': 0.8717065939846029, 'eval_precision': 0.8247237136325477, 'eval_recall': 0.8183943965798137, 'eval_f1': 0.8181574094659793, 'eval_mean_confidence': 0.8927444815635681, 'eval_mean_uncertainty': 0.3304809331893921, 'eval_mean_confidence_gap': 0.82517409324646, 'eval_runtime': 36.5374, 'eval_samples_per_second': 15.902, 'eval_steps_per_second': 1.998, 'epoch': 2.0}
{'loss': 0.2184, 'grad_norm': 2.5518414974212646, 'learning_rate': 0.00015951890034364262, 'epoch': 2.03}
{'loss': 0.2616, 'grad_norm': 2.5758137702941895, 'learning_rate': 0.0001588316151202749, 'epoch': 2.06}
{'loss': 0.2436, 'grad_norm': 2.3125104904174805, 'learning_rate': 0.00015814432989690722, 'epoch': 2.1}
{'loss': 0.2511, 'grad_norm': 4.341403007507324, 'learning_rate': 0.00015745704467353953, 'epoch': 2.13}
{'loss': 0.2903, 'grad_norm': 2.87249755859375, 'learning_rate': 0.00015676975945017182, 'epoch': 2.16}
{'loss': 0.1843, 'grad_norm': 2.6553728580474854, 'learning_rate': 0.00015608247422680413, 'epoch': 2.2}
{'loss': 0.2327, 'grad_norm': 2.5645768642425537, 'learning_rate': 0.00015539518900343645, 'epoch': 2.23}
{'loss': 0.1943, 'grad_norm': 3.514028310775757, 'learning_rate': 0.00015470790378006874, 'epoch': 2.27}
{'loss': 0.2631, 'grad_norm': 2.473378896713257, 'learning_rate': 0.00015402061855670105, 'epoch': 2.3}
{'loss': 0.2399, 'grad_norm': 2.4596235752105713, 'learning_rate': 0.00015333333333333334, 'epoch': 2.34}
{'loss': 0.257, 'grad_norm': 3.0311734676361084, 'learning_rate': 0.00015264604810996563, 'epoch': 2.37}
{'loss': 0.2518, 'grad_norm': 2.583061456680298, 'learning_rate': 0.00015195876288659794, 'epoch': 2.41}
{'loss': 0.2515, 'grad_norm': 3.9727139472961426, 'learning_rate': 0.00015127147766323025, 'epoch': 2.44}
{'loss': 0.2115, 'grad_norm': 2.274813413619995, 'learning_rate': 0.00015058419243986254, 'epoch': 2.47}
{'loss': 0.2347, 'grad_norm': 2.046365976333618, 'learning_rate': 0.00014989690721649486, 'epoch': 2.51}
{'loss': 0.1884, 'grad_norm': 2.3283796310424805, 'learning_rate': 0.00014920962199312717, 'epoch': 2.54}
{'loss': 0.243, 'grad_norm': 2.3995492458343506, 'learning_rate': 0.00014852233676975946, 'epoch': 2.58}
{'loss': 0.2205, 'grad_norm': 2.4923439025878906, 'learning_rate': 0.00014783505154639177, 'epoch': 2.61}
{'loss': 0.233, 'grad_norm': 1.7085533142089844, 'learning_rate': 0.00014714776632302406, 'epoch': 2.65}
{'loss': 0.2414, 'grad_norm': 2.432432174682617, 'learning_rate': 0.00014646048109965635, 'epoch': 2.68}
{'loss': 0.2628, 'grad_norm': 2.3456597328186035, 'learning_rate': 0.00014577319587628866, 'epoch': 2.71}
{'loss': 0.2789, 'grad_norm': 1.9197442531585693, 'learning_rate': 0.00014508591065292098, 'epoch': 2.75}
{'loss': 0.2322, 'grad_norm': 2.322680950164795, 'learning_rate': 0.00014439862542955326, 'epoch': 2.78}
{'loss': 0.2811, 'grad_norm': 2.466017961502075, 'learning_rate': 0.00014371134020618558, 'epoch': 2.82}
{'loss': 0.306, 'grad_norm': 2.546807050704956, 'learning_rate': 0.0001430240549828179, 'epoch': 2.85}
{'loss': 0.2443, 'grad_norm': 3.42108416557312, 'learning_rate': 0.00014233676975945018, 'epoch': 2.89}
