Number of classes: 17
Classes: ['ADJ', 'ADP', 'ADV', 'AUX', 'CCONJ', 'DET', 'INTJ', 'NOUN', 'NUM', 'PART', 'PRON', 'PROPN', 'PUNCT', 'SCONJ', 'SYM', 'VERB', 'X']
trainable params: 21,298,961 || all params: 11,787,398,434 || trainable%: 0.1807
Starting training...
{'loss': 0.3351, 'grad_norm': 2.446253538131714, 'learning_rate': 0.0001670790378006873, 'epoch': 1.65}
{'loss': 0.335, 'grad_norm': 2.873732328414917, 'learning_rate': 0.0001663917525773196, 'epoch': 1.68}
{'loss': 0.3063, 'grad_norm': 3.713876247406006, 'learning_rate': 0.0001657044673539519, 'epoch': 1.72}
{'loss': 0.3023, 'grad_norm': 3.014254331588745, 'learning_rate': 0.00016501718213058418, 'epoch': 1.75}
{'loss': 0.3083, 'grad_norm': 3.55690860748291, 'learning_rate': 0.0001643298969072165, 'epoch': 1.79}
{'loss': 0.3225, 'grad_norm': 3.5843939781188965, 'learning_rate': 0.0001636426116838488, 'epoch': 1.82}
{'loss': 0.3096, 'grad_norm': 2.6039726734161377, 'learning_rate': 0.0001629553264604811, 'epoch': 1.86}
{'loss': 0.2984, 'grad_norm': 2.0477402210235596, 'learning_rate': 0.00016226804123711341, 'epoch': 1.89}
{'loss': 0.2985, 'grad_norm': 2.618619680404663, 'learning_rate': 0.00016158075601374573, 'epoch': 1.92}
{'loss': 0.2979, 'grad_norm': 2.0560600757598877, 'learning_rate': 0.00016089347079037802, 'epoch': 1.96}
{'loss': 0.281, 'grad_norm': 2.529934883117676, 'learning_rate': 0.00016020618556701033, 'epoch': 1.99}
{'eval_loss': 0.3498077094554901, 'eval_accuracy': 0.8875642965204236, 'eval_precision': 0.8026015771539043, 'eval_recall': 0.7860841182157531, 'eval_f1': 0.7914610784463177, 'eval_mean_confidence': 0.9089078903198242, 'eval_mean_uncertainty': 0.2779427170753479, 'eval_mean_confidence_gap': 0.8488386273384094, 'eval_runtime': 16.858, 'eval_samples_per_second': 34.464, 'eval_steps_per_second': 4.33, 'epoch': 2.0}
{'loss': 0.1876, 'grad_norm': 1.788887619972229, 'learning_rate': 0.00015951890034364262, 'epoch': 2.03}
{'loss': 0.1377, 'grad_norm': 3.359041213989258, 'learning_rate': 0.0001588316151202749, 'epoch': 2.06}
{'loss': 0.2047, 'grad_norm': 2.552708148956299, 'learning_rate': 0.00015814432989690722, 'epoch': 2.1}
{'loss': 0.1855, 'grad_norm': 2.4992971420288086, 'learning_rate': 0.00015745704467353953, 'epoch': 2.13}
{'loss': 0.2142, 'grad_norm': 2.956782579421997, 'learning_rate': 0.00015676975945017182, 'epoch': 2.16}
{'loss': 0.2304, 'grad_norm': 3.8584039211273193, 'learning_rate': 0.00015608247422680413, 'epoch': 2.2}
{'loss': 0.2178, 'grad_norm': 2.1102325916290283, 'learning_rate': 0.00015539518900343645, 'epoch': 2.23}
{'loss': 0.1792, 'grad_norm': 1.6607528924942017, 'learning_rate': 0.00015470790378006874, 'epoch': 2.27}
{'loss': 0.2166, 'grad_norm': 2.3853323459625244, 'learning_rate': 0.00015402061855670105, 'epoch': 2.3}
{'loss': 0.2208, 'grad_norm': 2.2636616230010986, 'learning_rate': 0.00015333333333333334, 'epoch': 2.34}
{'loss': 0.2526, 'grad_norm': 2.0399324893951416, 'learning_rate': 0.00015264604810996563, 'epoch': 2.37}
{'loss': 0.22, 'grad_norm': 2.688020944595337, 'learning_rate': 0.00015195876288659794, 'epoch': 2.41}
